camera,scene,approach,gt_m,mean_m,abs_mean_m,std_m,min_m,max_m,n_valid,n_total
OnSemi,Flat_Wall_0.5m,1,0.5,-0.000194,0.005393,0.006683,-0.014451,0.014178,100,100
OnSemi,Flat_Wall_0.5m,2,0.5,-0.000652,0.003289,0.003854,-0.008526,0.008552,100,100
OnSemi,Flat_Wall_0.5m,3,0.5,0.014952,0.05868,0.073289,-0.122439,0.23873,100,100
OnSemi,Flat_Wall_0.5m,4,0.5,-0.000704,0.002934,0.003587,-0.008866,0.008718,100,100
OnSemi,Flat_Wall_0.75m,1,0.75,-0.000147,0.008738,0.010923,-0.026553,0.024544,100,100
OnSemi,Flat_Wall_0.75m,2,0.75,0.00014,0.005776,0.007549,-0.022802,0.024505,100,100
OnSemi,Flat_Wall_0.75m,3,0.75,0.091127,0.208127,0.236511,-0.255513,0.913693,100,100
OnSemi,Flat_Wall_0.75m,4,0.75,-0.000767,0.006601,0.00816,-0.017859,0.019629,100,100
OnSemi,Flat_Wall_1.0m,1,1.0,-0.00105,0.010199,0.01303,-0.037562,0.0261,100,100
OnSemi,Flat_Wall_1.0m,2,1.0,-0.000614,0.008054,0.009995,-0.020169,0.02763,100,100
OnSemi,Flat_Wall_1.0m,3,1.0,0.187254,0.376677,0.406773,-0.356207,1.139879,100,100
OnSemi,Flat_Wall_1.0m,4,1.0,-0.000801,0.01144,0.014299,-0.030349,0.038551,100,100
OnSemi,Flat_Wall_1.25m,1,1.25,-0.000114,0.013994,0.017823,-0.03939,0.04038,100,100
OnSemi,Flat_Wall_1.25m,2,1.25,-0.000528,0.012406,0.015355,-0.03651,0.03519,100,100
OnSemi,Flat_Wall_1.25m,3,1.25,0.277459,0.573973,0.728978,-0.505929,3.441812,100,100
OnSemi,Flat_Wall_1.25m,4,1.25,-0.000697,0.017679,0.022017,-0.047969,0.06119,100,100
OnSemi,Flat_Wall_1.5m,1,1.5,-0.001141,0.016607,0.020841,-0.04378,0.05633,100,100
OnSemi,Flat_Wall_1.5m,2,1.5,-0.000927,0.014021,0.018037,-0.047626,0.038915,100,100
OnSemi,Flat_Wall_1.5m,3,1.5,1.099034,1.431765,2.026348,-0.621904,10.740496,100,100
OnSemi,Flat_Wall_1.5m,4,1.5,-0.000355,0.025588,0.031716,-0.068216,0.085118,100,100
OnSemi,Flat_Wall_2.0m,1,2.0,-0.000388,0.023561,0.029684,-0.07268,0.07515,100,100
OnSemi,Flat_Wall_2.0m,2,2.0,-0.001044,0.026394,0.031755,-0.068414,0.063157,100,100
OnSemi,Flat_Wall_2.0m,3,2.0,8.576639,9.07226,17.774602,-0.949556,115.602223,100,100
OnSemi,Flat_Wall_2.0m,4,2.0,0.001566,0.045192,0.056778,-0.122585,0.156746,100,100
OnSemi,Flat_Wall_3.0m,1,3.0,-0.003354,0.033613,0.041964,-0.11648,0.11075,100,100
OnSemi,Flat_Wall_3.0m,2,3.0,0.001145,0.033954,0.042632,-0.121054,0.098785,100,100
