camera,scene,approach,gt_m,mean_m,abs_mean_m,std_m,min_m,max_m,n_valid,n_total
OnSemi,Flat_Wall_0.5m,1,0.5,0.000857,0.004792,0.005952,-0.013974,0.014885,100,100
OnSemi,Flat_Wall_0.5m,2,0.5,-0.001006,0.004474,0.005425,-0.011749,0.01166,100,100
OnSemi,Flat_Wall_0.5m,3,0.5,-0.001025,0.004583,0.005575,-0.012134,0.01193,100,100
OnSemi,Flat_Wall_0.75m,1,0.75,0.000403,0.007365,0.009235,-0.021584,0.028728,100,100
OnSemi,Flat_Wall_0.75m,2,0.75,-0.001089,0.004926,0.006371,-0.015369,0.015294,100,100
OnSemi,Flat_Wall_0.75m,3,0.75,-0.001281,0.005326,0.006893,-0.016725,0.017391,100,100
OnSemi,Flat_Wall_1.0m,1,1.0,-3.6e-05,0.007882,0.00991,-0.022824,0.028784,100,100
OnSemi,Flat_Wall_1.0m,2,1.0,-0.002311,0.007003,0.009635,-0.040888,0.020732,100,100
OnSemi,Flat_Wall_1.0m,3,1.0,-0.00261,0.007906,0.010904,-0.046439,0.021462,100,100
OnSemi,Flat_Wall_1.25m,1,1.25,-0.002137,0.010376,0.013273,-0.050028,0.029429,100,100
OnSemi,Flat_Wall_1.25m,2,1.25,0.006614,0.017921,0.028636,-0.090329,0.122186,86,100
OnSemi,Flat_Wall_1.25m,3,1.25,0.009931,0.023272,0.037853,-0.103569,0.170296,86,100
OnSemi,Flat_Wall_1.5m,1,1.5,-0.000836,0.012168,0.015346,-0.041314,0.034535,100,100
OnSemi,Flat_Wall_1.5m,2,1.5,0.051064,0.054886,0.046336,-0.028161,0.146875,46,100
OnSemi,Flat_Wall_1.5m,3,1.5,0.083718,0.090105,0.079398,-0.044845,0.264078,46,100
OnSemi,Flat_Wall_2.0m,1,2.0,0.000481,0.01563,0.020015,-0.058575,0.054543,100,100
OnSemi,Flat_Wall_2.0m,2,2.0,-0.004756,0.090203,0.107497,-0.227426,0.194182,46,100
OnSemi,Flat_Wall_2.0m,3,2.0,0.024477,0.170298,0.201001,-0.310418,0.472583,46,100
OnSemi,Flat_Wall_3.0m,1,3.0,0.002472,0.016359,0.022403,-0.040627,0.105161,100,100
OnSemi,Flat_Wall_3.0m,2,3.0,-0.106882,0.135677,0.114919,-0.293051,0.073712,28,100
OnSemi,Flat_Wall_3.0m,3,3.0,-0.251314,0.424862,0.385319,-0.674379,0.745359,28,100
OnSemi,Flat_Wall_4.0m,1,4.0,-0.002649,0.025874,0.035195,-0.119248,0.105957,100,100
OnSemi,Flat_Wall_4.0m,2,4.0,-0.141037,0.151491,0.106204,-0.327725,0.041602,15,100
OnSemi,Flat_Wall_4.0m,3,4.0,-0.557984,0.830655,0.677473,-1.081078,1.503359,15,100
OnSemi,MPI_1m,1,1.0,-0.195852,0.196491,0.124883,-0.408745,0.012465,100,100
OnSemi,MPI_1m,2,1.0,-0.205121,0.205809,0.122,-0.44432,0.015505,79,100
OnSemi,MPI_1m,3,1.0,-0.208417,0.209181,0.121977,-0.445898,0.01846,79,100
OnSemi,Sp_1m,1,1.0,-0.181753,0.628072,0.884187,-0.506015,3.111582,98,100
OnSemi,Sp_1m,2,1.0,-0.45791,0.45791,0.033823,-0.50044,-0.342585,79,100
OnSemi,Sp_1m,3,1.0,-0.457887,0.457887,0.034063,-0.500739,-0.340155,79,100
OnSemi,Sp_2m,1,2.0,1.523259,1.686621,0.966868,-0.484392,2.147024,100,100
OnSemi,Sp_2m,2,2.0,0.651221,1.110457,1.151305,-0.562874,2.080975,19,100
OnSemi,Sp_2m,3,2.0,0.411151,0.848292,0.945157,-0.600134,2.57651,19,100
OnSemi,Sp_3m,1,3.0,0.870294,0.941067,0.411038,-0.491935,1.120177,100,100
OnSemi,Sp_3m,2,3.0,0.691737,0.836846,0.496936,-0.663227,1.161946,16,100
OnSemi,Sp_3m,3,3.0,0.324775,0.531389,0.724303,-0.846031,2.408606,16,100
OnSemi,Sp_4m,1,4.0,-0.012924,0.045169,0.094916,-0.511042,0.087454,100,100
OnSemi,Sp_4m,2,4.0,-0.132257,0.138377,0.097885,-0.308253,0.042845,14,100
OnSemi,Sp_4m,3,4.0,-0.559731,0.852864,0.706731,-1.097274,1.510261,14,100
Schmersal,Flat_Wall_0.5m,1,0.5,-0.00034,0.004798,0.006034,-0.020253,0.015468,100,100
Schmersal,Flat_Wall_0.5m,2,0.5,-0.001867,0.004434,0.005392,-0.01489,0.010763,100,100
Schmersal,Flat_Wall_0.5m,3,0.5,-0.001931,0.004537,0.005547,-0.015786,0.01098,100,100
Schmersal,Flat_Wall_0.75m,1,0.75,0.000158,0.00569,0.007306,-0.019157,0.022138,100,100
Schmersal,Flat_Wall_0.75m,2,0.75,-0.002427,0.005396,0.006461,-0.019257,0.011565,100,100
Schmersal,Flat_Wall_0.75m,3,0.75,-0.002926,0.006188,0.007263,-0.023641,0.012773,100,100
Schmersal,Flat_Wall_1.0m,1,1.0,-0.00025,0.006423,0.008137,-0.023334,0.018196,100,100
Schmersal,Flat_Wall_1.0m,2,1.0,-0.0007,0.005739,0.007569,-0.023971,0.015475,100,100
Schmersal,Flat_Wall_1.0m,3,1.0,-0.000601,0.007518,0.010124,-0.032886,0.027155,100,100
Schmersal,Flat_Wall_1.25m,1,1.25,-0.001213,0.007725,0.010207,-0.026231,0.030187,100,100
Schmersal,Flat_Wall_1.25m,2,1.25,0.013463,0.021634,0.02863,-0.04608,0.122514,85,100
Schmersal,Flat_Wall_1.25m,3,1.25,0.02202,0.032289,0.044531,-0.054778,0.191908,85,100
Schmersal,Flat_Wall_1.5m,1,1.5,0.000489,0.009638,0.012624,-0.040003,0.040209,100,100
Schmersal,Flat_Wall_1.5m,2,1.5,0.076521,0.07693,0.034164,-0.008589,0.145161,42,100
Schmersal,Flat_Wall_1.5m,3,1.5,0.150744,0.151058,0.074149,-0.006594,0.281914,42,100
Schmersal,Flat_Wall_2.0m,1,2.0,-0.000289,0.011561,0.013752,-0.031381,0.033866,100,100
Schmersal,Flat_Wall_2.0m,2,2.0,0.018959,0.066464,0.07232,-0.141328,0.130161,25,100
Schmersal,Flat_Wall_2.0m,3,2.0,0.078953,0.171034,0.187913,-0.249952,0.47661,25,100
Schmersal,Flat_Wall_3.0m,1,3.0,0.000124,0.015019,0.018982,-0.0501,0.053074,100,100
Schmersal,Flat_Wall_3.0m,2,3.0,-0.100908,0.1085,0.07689,-0.230492,0.05314,14,100
Schmersal,Flat_Wall_3.0m,3,3.0,-0.291853,0.39724,0.333145,-0.632567,0.709727,14,100
Schmersal,Flat_Wall_4.0m,1,4.0,0.001774,0.022502,0.027162,-0.065722,0.080175,100,100
Schmersal,Flat_Wall_4.0m,2,4.0,-0.183398,0.183398,0.08168,-0.316144,-0.061776,5,100
Schmersal,Flat_Wall_4.0m,3,4.0,-0.830737,0.830737,0.206154,-1.126867,-0.493164,5,100
Schmersal,MPI_1m,1,1.0,-0.193346,0.194048,0.125468,-0.41319,0.014883,100,100
Schmersal,MPI_1m,2,1.0,-0.206121,0.207557,0.125794,-0.434961,0.01925,79,100
Schmersal,MPI_1m,3,1.0,-0.211599,0.213357,0.12541,-0.43802,0.020871,79,100
Schmersal,Sp_1m,1,1.0,-0.108463,0.694378,1.006685,-0.502142,3.102318,97,100
Schmersal,Sp_1m,2,1.0,-0.456389,0.456389,0.035844,-0.50833,-0.353796,83,100
Schmersal,Sp_1m,3,1.0,-0.456533,0.456533,0.036005,-0.509456,-0.35068,83,100
Schmersal,Sp_2m,1,2.0,1.525834,1.692353,0.971762,-0.490075,2.096442,100,100
Schmersal,Sp_2m,2,2.0,-0.094939,0.619181,0.791601,-0.54197,1.856175,14,100
Schmersal,Sp_2m,3,2.0,-0.166089,0.491857,0.5496,-0.586177,1.206814,14,100
Schmersal,Sp_3m,1,3.0,0.868495,0.936277,0.405475,-0.501317,1.084505,100,100
Schmersal,Sp_3m,2,3.0,0.302058,0.680105,0.629425,-0.564373,0.938551,8,100
Schmersal,Sp_3m,3,3.0,-0.175965,0.342139,0.393349,-0.681793,0.503923,8,100
Schmersal,Sp_4m,1,4.0,-0.015258,0.037096,0.089412,-0.49784,0.077621,100,100
Schmersal,Sp_4m,2,4.0,-0.21294,0.21294,0.064457,-0.321298,-0.162719,4,100
Schmersal,Sp_4m,3,4.0,-0.924892,0.924892,0.12529,-1.126867,-0.801452,4,100
SchmersalReal,0.61m,1,0.61,-0.003495,0.007198,0.009131,-0.034193,0.023806,74,100
SchmersalReal,0.61m,2,0.61,0.010032,0.01102,0.007503,-0.007219,0.029906,39,100
SchmersalReal,0.61m,3,0.61,0.012947,0.014447,0.009313,-0.01484,0.035346,39,100
SchmersalReal,0.81m,1,0.81,0.015057,0.015487,0.009288,-0.009474,0.041205,69,100
SchmersalReal,0.81m,2,0.81,0.014364,0.018272,0.014145,-0.043713,0.03461,43,100
SchmersalReal,0.81m,3,0.81,0.016746,0.02212,0.02061,-0.058594,0.068593,43,100
SchmersalReal,0.91m,1,0.91,-0.008817,0.010151,0.008597,-0.033072,0.013468,70,100
SchmersalReal,0.91m,2,0.91,9.4e-05,0.008988,0.012465,-0.039833,0.016853,45,100
SchmersalReal,0.91m,3,0.91,0.009661,0.018908,0.022073,-0.062903,0.05665,45,100
SchmersalReal,1.01m,1,1.01,0.00526,0.008405,0.009891,-0.012902,0.040713,68,100
SchmersalReal,1.01m,2,1.01,0.008686,0.010929,0.008868,-0.01938,0.025731,45,100
SchmersalReal,1.01m,3,1.01,0.014754,0.020473,0.01952,-0.042603,0.050433,45,100
SchmersalReal,1.11m,1,1.11,0.008083,0.010775,0.01386,-0.019369,0.054131,80,100
SchmersalReal,1.11m,2,1.11,0.007368,0.008936,0.009167,-0.013427,0.038694,45,100
SchmersalReal,1.11m,3,1.11,0.019132,0.023039,0.02558,-0.03738,0.087932,45,100
