frame,score,n_missing_dots
0,3.312052,0
1,7.372458,0
2,0.812168,0
3,1.838008,0
4,25.258676,0
5,4.770540,0
6,7.869244,0
7,19.150448,0
8,18.991470,0
9,13.514914,0
10,2.744228,0
11,2.137889,0
12,2.897877,0
13,17.101595,0
14,8.745141,0
15,1.774133,0
16,36.588113,0
17,8.505864,0
18,2.762996,0
19,1.608636,0
20,1.517223,0
21,8.163508,0
22,3.953899,0
23,2.664903,0
24,1.927104,0
25,8.305969,0
26,17.575461,0
27,1.043926,0
28,19.278991,0
29,39.348446,0
30,47.408731,0
31,10.000636,0
32,18.067120,0
33,2.347514,0
34,23.056805,0
35,3.654191,0
36,7.318193,0
37,1.738723,0
38,0.933018,0
39,7.178781,0
40,37.241139,0
41,1.375916,0
42,2.946773,0
43,18.894986,0
44,7.630717,0
45,37.536573,0
46,9.160873,0
47,22.832926,0
48,16.855016,0
49,24.582124,0
50,18.121330,0
51,23.287018,0
52,7.954493,0
53,7.732586,0
54,17.900780,0
55,2.815164,0
56,8.814148,0
57,16.062710,0
58,2.718801,0
59,48.116543,0
60,7.826007,0
61,1.730329,0
62,1.584733,0
63,20.104630,0
64,2.328030,0
65,5.103024,0
66,31.673486,0
67,1.703275,0
68,11.003469,0
69,9.017786,0
70,0.959833,0
71,4.050629,0
72,8.026349,0
73,3.135867,0
74,426.367836,0
75,8.045547,0
76,8.352484,0
77,32.953957,0
78,3.241561,0
79,1.701968,0
80,5.338587,0
81,8.150272,0
82,24.357236,0
83,20.883316,0
84,59.524717,0
85,31.508042,0
86,24.882849,0
87,9.087201,0
88,1.534618,0
89,1.204752,0
90,4.561675,0
91,2.904418,0
92,3.206625,0
93,2.518337,0
94,13.316756,0
95,8.152665,0
96,2.370800,0
97,8.554898,0
98,4.425101,0
99,25.074410,0
