frame,score,n_missing_dots
0,18.215184,0
1,364.427531,0
2,74.530653,0
3,16.923369,0
4,12.374395,0
5,15.575681,0
6,14.718807,0
7,168.171358,0
8,3.753246,0
9,69.307472,0
10,72.252731,0
11,6.825120,0
12,14.022183,0
13,15.080861,0
14,15.084608,0
15,15.020168,0
16,64.238681,0
17,13.181547,0
18,41.119480,0
19,28.342321,0
20,26.552312,0
21,44.574917,0
22,118.583388,0
23,25.941685,0
24,10.106771,0
25,1.440728,0
26,17.787328,0
27,6.731062,0
28,13.588085,0
29,18.198362,0
30,14.245582,0
31,4.725167,0
32,6.500263,0
33,125.265704,0
34,15.879080,0
35,16.100443,0
36,5.752636,0
37,13.733996,0
38,19.200963,0
39,16.550317,0
40,262.195391,0
41,7.978880,0
42,141.979279,0
43,310.843870,0
44,13.001005,0
45,56.122542,0
46,56.098074,0
47,54.097210,0
48,382.739309,0
49,6.615119,0
50,15.419043,0
51,249.523567,0
52,16.137712,0
53,4.413890,0
54,10.163932,0
55,15.232029,0
56,41.120288,0
57,18.264416,0
58,16.787031,0
59,17.164475,0
60,25.187332,0
61,15.321573,0
62,25.924341,0
63,18.331044,0
64,174.162753,0
65,136.063279,0
66,1.811920,0
67,11.840439,0
68,56.251010,0
69,12.073257,0
70,17.813178,0
71,4.899223,0
72,137.733621,0
73,8.932322,0
74,18.582389,0
75,17.663335,0
76,17.146811,0
77,77.663607,0
78,1.928243,0
79,14.222969,0
80,64.203493,0
81,58.127953,0
82,134.585879,0
83,293.731084,0
84,2715.166464,0
85,8.749399,0
86,188.707006,0
87,28.414346,0
88,2655.806772,0
89,58.198379,0
90,1.872308,0
91,172.207993,0
92,13.453036,0
93,13.358040,0
94,22.441044,0
95,138.894070,0
96,83.061313,0
97,5.539697,0
98,3380.974758,0
99,14.914189,0
